Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
320	253.357949360333	-0.106277465820313	-0.15655517578125	-3.8726806640625E-06	1.4373779296875E-07	-4.01641845703125E-06	6.06288210747152E-07	40425.53125	-3.12524425680749E-05
321	253.407949360206	-0.111312866210938	-0.16156005859375	-3.7994384765625E-06	1.2176513671875E-07	-3.92120361328125E-06	6.13837471519219E-07	42522.08984375	-3.14442440867424E-05
322	253.45794936008	-0.116348266601563	-0.166595458984375	-3.7353515625E-06	1.04370117187499E-07	-3.8397216796875E-06	6.22292589014251E-07	44599.67578125	-3.16326149913948E-05
323	253.507949359954	-0.121383666992188	-0.171417236328125	-3.67431640625E-06	9.67407226562494E-08	-3.77105712890625E-06	6.2984116766529E-07	46652.82421875	-3.18178535962943E-05
324	253.557949359828	-0.126419067382813	-0.176422119140625	-3.62548828125E-06	9.27734375000003E-08	-3.71826171875E-06	6.39616303033108E-07	48661.6171875	-3.20003491651732E-05
325	253.607949359701	-0.131454467773438	-0.181488037109375	-3.582763671875E-06	9.58251953125003E-08	-3.6785888671875E-06	6.50228741960746E-07	50655.87890625	-3.21805564453825E-05
326	253.657949359575	-0.136489868164063	-0.186553955078125	-3.5430908203125E-06	1.00097656250001E-07	-3.6431884765625E-06	6.60977605093649E-07	52652.88671875	-3.2358704629587E-05
327	253.707949359449	-0.141525268554688	-0.191650390625	-3.515625E-06	1.0833740234375E-07	-3.62396240234375E-06	6.737708986293E-07	54513.890625	-3.25351720675826E-05
328	253.757949359323	-0.146560668945313	-0.19683837890625	-3.485107421875E-06	1.190185546875E-07	-3.6041259765625E-06	6.86002863403701E-07	56479.86328125	-3.27101879520342E-05
329	253.807949359197	-0.151596069335938	-0.20184326171875	-3.4576416015625E-06	1.33361816406249E-07	-3.59100341796875E-06	6.97901612056739E-07	58375.99609375	-3.28837595588993E-05
330	253.85794935907	-0.156631469726563	-0.206817626953125	-3.4454345703125E-06	1.45263671875E-07	-3.5906982421875E-06	7.1257659328694E-07	60026.57421875	-3.30563343595713E-05
331	253.907949358944	-0.161666870117188	-0.211669921875	-3.424072265625E-06	1.59912109375E-07	-3.583984375E-06	7.24773087767971E-07	61818.18359375	-3.32280724251177E-05
332	253.957949358818	-0.166702270507813	-0.2166748046875	-3.4088134765625E-06	1.751708984375E-07	-3.583984375E-06	7.38604001071508E-07	63563.1171875	-3.33988937200047E-05
333	254.007949358692	-0.171737670898438	-0.22174072265625	-3.3966064453125E-06	1.9195556640625E-07	-3.58856201171875E-06	7.53165977585013E-07	65283.01953125	-3.3569031074876E-05
334	254.057949358565	-0.176773071289063	-0.226806640625	-3.38134765625E-06	2.06909179687501E-07	-3.5882568359375E-06	7.66912080507609E-07	67075.8125	-3.37384772137739E-05
335	254.107949358439	-0.181808471679688	-0.231903076171875	-3.3782958984375E-06	2.22167968750001E-07	-3.6004638671875E-06	7.83437201334891E-07	68644.9921875	-3.39074686053209E-05
336	254.157949358313	-0.186843872070313	-0.237030029296875	-3.369140625E-06	2.362060546875E-07	-3.6053466796875E-06	7.98587507233606E-07	70353.2578125	-3.40761544066481E-05
337	254.207949358187	-0.191879272460938	-0.242095947265625	-3.3660888671875E-06	2.51159667968751E-07	-3.61724853515625E-06	8.14916461422399E-07	71922.03125	-3.42445382557344E-05
338	254.25794935806	-0.196914672851563	-0.2470703125	-3.363037109375E-06	2.6702880859375E-07	-3.63006591796875E-06	8.30906571991363E-07	73466.4296875	-3.44127656717319E-05
339	254.307949357934	-0.201950073242188	-0.2518310546875	-3.35693359375E-06	2.81677246093751E-07	-3.63861083984375E-06	8.45380100145121E-07	75018.1796875	-3.45807638950646E-05
340	254.357949357808	-0.206985473632813	-0.25701904296875	-3.3599853515625E-06	2.9327392578125E-07	-3.65325927734375E-06	8.63580169152556E-07	76494.1015625	-3.47486857208423E-05
341	254.407949357682	-0.212020874023438	-0.2620849609375	-3.3599853515625E-06	3.05786132812499E-07	-3.665771484375E-06	8.80601589869912E-07	78001.8203125	-3.49166875821538E-05
342	254.457949357555	-0.217056274414063	-0.267242431640625	-3.35693359375E-06	3.192138671875E-07	-3.6761474609375E-06	8.97115114639746E-07	79609.09375	-3.50846094079316E-05
343	254.507949357429	-0.222091674804688	-0.2723388671875	-3.3599853515625E-06	3.3416748046875E-07	-3.69415283203125E-06	9.15054556571704E-07	81053.59375	-3.52525312337093E-05
344	254.557949357303	-0.227127075195313	-0.2772216796875	-3.3599853515625E-06	3.4637451171875E-07	-3.70635986328125E-06	9.3146070412331E-07	82506.8203125	-3.54205330950208E-05
